generation,snw_dth,snw_att,snw_pmf,snw_amf,sl0_dth,sl0_pwp,sl0_fcy,sl0_bt0,urr_dth,lrr_dth,urr_wsr,urr_ulc,urr_tdh,urr_tdr,urr_ndr,urr_uct,lrr_dre,lrr_lct,best_ofv,best_nse
29,0.0,-100.0,0.0,0.0,66.4752163810549,78.39864490472365,189.65613029735871,6.470416848645129,7.289409481329945,15.844222996566323,0.14709448396775116,0.5181439763434362,46.025741053096034,0.5622462472877159,0.07546520660153433,0.20132450686128578,0.010197034830018492,0.0008547883014977109,1.3003379607548895,-0.3003379607548895
30,0.0,-100.0,0.0,0.0,61.81614244579189,127.38756140144903,128.26227327618716,3.81345339889255,10.461113048936726,17.413686671008286,0.8239931096331677,0.7089603708474476,179.23452892747753,0.4409096370511963,0.04367910523728685,0.07977136458432171,0.013485745005004768,0.0007797972110447082,1.6757626187736048,-0.6757626187736048
31,0.0,-100.0,0.0,0.0,61.81614244579189,127.38756140144903,128.26227327618716,3.81345339889255,10.461113048936726,17.413686671008286,0.8239931096331677,0.7089603708474476,179.23452892747753,0.4409096370511963,0.04367910523728685,0.07977136458432171,0.013485745005004768,0.0007797972110447082,5.161743204249231,-4.161743204249231
32,0.0,-100.0,0.0,0.0,84.96837953366955,194.26938379159398,115.49648159264643,2.027818027380963,7.106643190249706,3.3897892856361693,0.4233501276172232,0.6086807416931868,43.260436925681645,0.09203064760996205,0.027720007705987038,0.11951386530719843,0.0050796024911774484,0.0005864382082494957,22.52916026990822,-21.52916026990822
33,0.0,-100.0,0.0,0.0,84.96837953366955,194.26938379159398,115.49648159264643,2.027818027380963,7.106643190249706,3.3897892856361693,0.4233501276172232,0.6086807416931868,43.260436925681645,0.09203064760996205,0.027720007705987038,0.11951386530719843,0.0050796024911774484,0.0005864382082494957,1.7021556845283317,-0.7021556845283317
34,0.0,-100.0,0.0,0.0,84.96837953366955,194.26938379159398,115.49648159264643,2.027818027380963,7.106643190249706,3.3897892856361693,0.4233501276172232,0.6086807416931868,43.260436925681645,0.09203064760996205,0.027720007705987038,0.11951386530719843,0.0050796024911774484,0.0005864382082494957,1.7251421304010206,-0.7251421304010206
35,0.0,-100.0,0.0,0.0,84.96837953366955,194.26938379159398,115.49648159264643,2.027818027380963,7.106643190249706,3.3897892856361693,0.4233501276172232,0.6086807416931868,43.260436925681645,0.09203064760996205,0.027720007705987038,0.11951386530719843,0.0050796024911774484,0.0005864382082494957,9.506177288178366,-8.506177288178366
36,0.0,-100.0,0.0,0.0,84.50851936739038,479.87093900542266,127.15069438387826,1.8617656907918572,6.147271136819986,4.017380943406884,0.6135728807382368,0.8197994552012382,69.27397687331893,0.808973670561462,0.027882507723215877,0.06512603912683718,0.010196098268120402,0.002435351319764578,2.685477727535498,-1.6854777275354982
37,0.0,-100.0,0.0,0.0,73.60107624543738,475.73036614894306,120.97087108657684,4.536374202135939,5.675623427391154,3.0487106126838697,0.5916197619123551,0.8888324339212681,185.29832504769433,0.9070932753139388,0.02198158299308345,0.07890890236658232,0.01259287093110839,0.0015704675065928986,1.3512711745416346,-0.3512711745416346
38,0.0,-100.0,0.0,0.0,73.60107624543738,475.73036614894306,120.97087108657684,4.536374202135939,5.675623427391154,3.0487106126838697,0.5916197619123551,0.8888324339212681,185.29832504769433,0.9070932753139388,0.02198158299308345,0.07890890236658232,0.01259287093110839,0.0015704675065928986,1.3646801085633646,-0.36468010856336464
39,0.0,-100.0,0.0,0.0,73.60107624543738,475.73036614894306,120.97087108657684,4.536374202135939,5.675623427391154,3.0487106126838697,0.5916197619123551,0.8888324339212681,185.29832504769433,0.9070932753139388,0.02198158299308345,0.07890890236658232,0.01259287093110839,0.0015704675065928986,1.7228926188507703,-0.7228926188507703
40,0.0,-100.0,0.0,0.0,73.60107624543738,475.73036614894306,120.97087108657684,4.536374202135939,5.675623427391154,3.0487106126838697,0.5916197619123551,0.8888324339212681,185.29832504769433,0.9070932753139388,0.02198158299308345,0.07890890236658232,0.01259287093110839,0.0015704675065928986,0.6441722548174923,0.3558277451825077
41,0.0,-100.0,0.0,0.0,73.60107624543738,475.73036614894306,120.97087108657684,4.536374202135939,5.675623427391154,3.0487106126838697,0.5916197619123551,0.8888324339212681,185.29832504769433,0.9070932753139388,0.02198158299308345,0.07890890236658232,0.01259287093110839,0.0015704675065928986,1.1401132307590711,-0.14011323075907112
42,0.0,-100.0,0.0,0.0,73.60107624543738,475.73036614894306,120.97087108657684,4.536374202135939,5.675623427391154,3.0487106126838697,0.5916197619123551,0.8888324339212681,185.29832504769433,0.9070932753139388,0.02198158299308345,0.07890890236658232,0.01259287093110839,0.0015704675065928986,1.6638407663800352,-0.6638407663800352
43,0.0,-100.0,0.0,0.0,90.54849209588772,696.8677100296898,137.26768192082085,3.9907102273423924,3.2420896295762,2.87779264926413,0.8324055394875957,0.9866360718561726,97.04954544306649,0.9465076881886759,0.001658217323086797,0.007137831785615334,0.013175596100157505,0.0021064024945966486,0.6570367232475238,0.3429632767524762
44,0.0,-100.0,0.0,0.0,90.54849209588772,696.8677100296898,137.26768192082085,3.9907102273423924,3.2420896295762,2.87779264926413,0.8324055394875957,0.9866360718561726,97.04954544306649,0.9465076881886759,0.001658217323086797,0.007137831785615334,0.013175596100157505,0.0021064024945966486,3.465472618016985,-2.465472618016985
45,0.0,-100.0,0.0,0.0,90.54849209588772,696.8677100296898,137.26768192082085,3.9907102273423924,3.2420896295762,2.87779264926413,0.8324055394875957,0.9866360718561726,97.04954544306649,0.9465076881886759,0.001658217323086797,0.007137831785615334,0.013175596100157505,0.0021064024945966486,0.9264896951552571,0.07351030484474286
46,0.0,-100.0,0.0,0.0,90.54849209588772,696.8677100296898,137.26768192082085,3.9907102273423924,3.2420896295762,2.87779264926413,0.8324055394875957,0.9866360718561726,97.04954544306649,0.9465076881886759,0.001658217323086797,0.007137831785615334,0.013175596100157505,0.0021064024945966486,4.428995465571022,-3.428995465571022
47,0.0,-100.0,0.0,0.0,90.54849209588772,696.8677100296898,137.26768192082085,3.9907102273423924,3.2420896295762,2.87779264926413,0.8324055394875957,0.9866360718561726,97.04954544306649,0.9465076881886759,0.001658217323086797,0.007137831785615334,0.013175596100157505,0.0021064024945966486,5.151284046009649,-4.151284046009649
