generation,snw_dth,snw_att,snw_pmf,snw_amf,sl0_dth,sl0_pwp,sl0_fcy,sl0_bt0,urr_dth,lrr_dth,urr_wsr,urr_ulc,urr_tdh,urr_tdr,urr_ndr,urr_uct,lrr_dre,lrr_lct,best_ofv,best_mse
0,0.0,-0.2614729231334072,1.0898130603840162,1.3372471052568464,47.852150705619,471.945455385455,293.22863480539957,6.796325812971299,2.4563037355796924,21.108250349805104,0.6599257943529498,0.11704469380325822,163.2096406700462,0.8639441403741903,0.1962261765760679,0.34735214802232844,0.031699535876442475,0.5983205902877715,4066.160088718579,4066.160088718579
1,0.0,-0.2614729231334072,1.0898130603840162,1.3372471052568464,47.852150705619,471.945455385455,293.22863480539957,6.796325812971299,2.4563037355796924,21.108250349805104,0.6599257943529498,0.11704469380325822,163.2096406700462,0.8639441403741903,0.1962261765760679,0.34735214802232844,0.031699535876442475,0.5983205902877715,3763.749106479481,3763.749106479481
2,0.0,-0.2614729231334072,1.0898130603840162,1.3372471052568464,47.852150705619,471.945455385455,293.22863480539957,6.796325812971299,2.4563037355796924,21.108250349805104,0.6599257943529498,0.11704469380325822,163.2096406700462,0.8639441403741903,0.1962261765760679,0.34735214802232844,0.031699535876442475,0.5983205902877715,29388.350665144906,29388.350665144906
3,0.0,-0.2614729231334072,1.0898130603840162,1.3372471052568464,47.852150705619,471.945455385455,293.22863480539957,6.796325812971299,2.4563037355796924,21.108250349805104,0.6599257943529498,0.11704469380325822,163.2096406700462,0.8639441403741903,0.1962261765760679,0.34735214802232844,0.031699535876442475,0.5983205902877715,3115.5716680837627,3115.5716680837627
4,0.0,2.772740121449467,0.40662097148752374,0.060480957624672094,55.881190437377086,402.46475703761996,331.08265032867683,2.812167851609759,0.16303394316379283,58.21602395149943,0.18242941510896082,0.35386878172620795,157.68008053046975,0.01450607981535279,0.5696134087577611,0.09223311742129908,0.022399999966074335,0.21737404097782392,3329.219168469448,3329.219168469448
5,0.0,2.772740121449467,0.40662097148752374,0.060480957624672094,55.881190437377086,402.46475703761996,331.08265032867683,2.812167851609759,0.16303394316379283,58.21602395149943,0.18242941510896082,0.35386878172620795,157.68008053046975,0.01450607981535279,0.5696134087577611,0.09223311742129908,0.022399999966074335,0.21737404097782392,126697.93663627541,126697.93663627541
6,0.0,2.655767971792841,1.4053489368818597,1.8501688169443025,16.755209684468085,558.061471967022,158.9478700088808,4.700965278309636,8.749544977635196,4.971725064103147,0.462919999975581,0.5894658703806074,101.91502933324186,0.29753400541823094,0.051711337831210846,0.2983910341957724,0.014845633198832864,0.09840077636061573,1262.156153698026,1262.156153698026
7,0.0,2.655767971792841,1.4053489368818597,1.8501688169443025,16.755209684468085,558.061471967022,158.9478700088808,4.700965278309636,8.749544977635196,4.971725064103147,0.462919999975581,0.5894658703806074,101.91502933324186,0.29753400541823094,0.051711337831210846,0.2983910341957724,0.014845633198832864,0.09840077636061573,1631.9091042974776,1631.9091042974776
8,0.0,2.655767971792841,1.4053489368818597,1.8501688169443025,16.755209684468085,558.061471967022,158.9478700088808,4.700965278309636,8.749544977635196,4.971725064103147,0.462919999975581,0.5894658703806074,101.91502933324186,0.29753400541823094,0.051711337831210846,0.2983910341957724,0.014845633198832864,0.09840077636061573,2866.732155884898,2866.732155884898
9,0.0,1.931761919373441,1.57656732215612,7.101171283457375,28.18358949013067,662.3111290367738,248.34786947194144,3.260819743269985,2.2860725622891556,19.49813560872493,0.8088626890923395,0.7941229791067071,75.79745334844719,0.6787377695149276,0.06140546252511514,0.959825135386061,0.015549679853587961,0.025986873217708317,1249.3981580267548,1249.3981580267548
