generation,snw_dth,snw_att,snw_pmf,snw_amf,sl0_dth,sl0_pwp,sl0_fcy,sl0_bt0,urr_dth,lrr_dth,urr_wsr,urr_ulc,urr_tdh,urr_tdr,urr_ndr,urr_uct,lrr_dre,lrr_lct,best_ofv,best_nse
0,0.0,2.1965849893779867,2.205140975357258,2.889087564685781,44.05109635537609,407.7625442022188,200.1491220200909,0.7286546623757078,12.28534156483118,5.0077366931306955,0.924625648363581,0.963876538193608,155.175786774032,0.6142858455482619,0.057917318371824456,0.177429746673049,0.0029827670878386225,0.44457797256761006,26.746226838034197,-25.746226838034197
1,0.0,2.1965849893779867,2.205140975357258,2.889087564685781,44.05109635537609,407.7625442022188,200.1491220200909,0.7286546623757078,12.28534156483118,5.0077366931306955,0.924625648363581,0.963876538193608,155.175786774032,0.6142858455482619,0.057917318371824456,0.177429746673049,0.0029827670878386225,0.44457797256761006,67.68187752712802,-66.68187752712802
2,0.0,0.2543397203418747,2.1433945687780462,4.582376928830522,48.656226211626134,501.967328540582,237.38409275197705,2.5990683094665314,14.638986441508967,4.439671304407845,0.7828561449536857,0.8565110479630206,162.6007857727592,0.08444957274633363,0.0446264779652244,0.29853712401124716,0.02703031168946607,0.6546118374294883,9.848976916329416,-8.848976916329416
3,0.0,-0.5021462244922907,1.0750624450046946,1.0124376197755898,57.62066650052697,313.16786039503813,180.85019511632944,0.323540664662576,7.6948159474716675,0.22404730736960232,0.934661364767308,0.6981689098878341,143.00361185961538,0.26765595499251016,0.08721040091895471,0.12092293874020771,0.00924171334029239,0.7945385891557194,4.5075604199620924,-3.5075604199620924
4,0.0,-0.5021462244922907,1.0750624450046946,1.0124376197755898,57.62066650052697,313.16786039503813,180.85019511632944,0.323540664662576,7.6948159474716675,0.22404730736960232,0.934661364767308,0.6981689098878341,143.00361185961538,0.26765595499251016,0.08721040091895471,0.12092293874020771,0.00924171334029239,0.7945385891557194,44.459018727969166,-43.459018727969166
5,0.0,0.021341037336934765,1.0549108282866684,2.474394072635212,52.35026738220413,267.56216123029384,279.8036655404369,6.370748117178653,3.0321023490689676,2.802469721770663,0.3525912943560229,0.45194565527586794,149.2471107406951,0.5503824385254095,0.06030973967261716,0.2962001345950068,0.13192220842346847,0.3845834201811292,14.789958471275886,-13.789958471275886
6,0.0,-1.2228836327576387,1.5222519910039982,2.1383940870965152,60.71301133419409,292.7494393857961,205.9707420843024,7.123055092224833,5.84566686453531,0.7014203760141271,0.8542588798401173,0.7239293700965823,122.43338393744125,0.2669359117420572,0.04376803909219462,0.7652464863341246,0.02504598971151456,0.15332155822572419,2.2181987748363348,-1.2181987748363348
7,0.0,2.6673595475654044,0.7407066570487617,0.5856221751056552,87.83535757855702,157.34261302292407,427.8053671645692,1.846670240610992,0.5180869513819424,0.44239412298551173,0.9120503343200147,0.7497997394109815,157.73842768804263,0.19675076221889892,0.2897740301812759,0.9236866488481332,0.011577392651738516,0.5623155676150028,20.85238477743826,-19.85238477743826
8,0.0,2.6673595475654044,0.7407066570487617,0.5856221751056552,87.83535757855702,157.34261302292407,427.8053671645692,1.846670240610992,0.5180869513819424,0.44239412298551173,0.9120503343200147,0.7497997394109815,157.73842768804263,0.19675076221889892,0.2897740301812759,0.9236866488481332,0.011577392651738516,0.5623155676150028,1.994514059416275,-0.9945140594162749
9,0.0,2.7575163669458314,0.01446229729029258,0.34241806988744816,83.80195688641084,196.0102635534735,259.2062498859335,1.9851378641105928,0.6253088594725789,19.774450781507426,0.6962197787218662,0.5987526932632009,153.85895648564542,0.11530907765178722,0.2390551417785493,0.5102581552025454,0.004280143000953973,0.14908459934883306,2.087200242374011,-1.0872002423740108
