Simulation_ID,OFV,OFV_REF,NSE,snw_dth,snw_dth_ref,snw_att,snw_att_ref,snw_pmf,snw_pmf_ref,snw_amf,snw_amf_ref,sl0_dth,sl0_dth_ref,sl0_pwp,sl0_pwp_ref,sl0_fcy,sl0_fcy_ref,sl0_bt0,sl0_bt0_ref,urr_dth,urr_dth_ref,lrr_dth,lrr_dth_ref,urr_wsr,urr_wsr_ref,urr_ulc,urr_ulc_ref,urr_tdh,urr_tdh_ref,urr_tdr,urr_tdr_ref,urr_ndr,urr_ndr_ref,urr_uct,urr_uct_ref,lrr_dre,lrr_dre_ref,lrr_lct,lrr_lct_ref
0,0.11116493653694992,0.11361460560515446,0.8886193793797388,0.0,0.0,-0.005703425128123607,-0.005571,0.41913440019102755,0.521145,0.017994850151117348,0.046251,56.32221861435972,99.167578,467.1635332999944,576.30908,115.33511976879288,164.676837,1.954540766423127,2.953878,0.7845422389617056,2.363494,1.666361856636442,0.304237,0.9948300220556964,0.996199,0.14026803707478186,0.176932,178.48667824618593,30.970124,0.8034081084738082,0.182238,1.1522277982844997e-06,3e-06,0.005972595133913183,3.8e-05,0.010717959336369043,0.009186,0.00033267404681774915,0.0
1,0.10801532619559473,0.10865335398792042,0.8918655398998352,0.0,0.0,-0.00682007272966989,-0.005571,0.4559107522868633,0.521145,0.05828884654469135,0.046251,93.96213998493944,99.167578,634.3535081599778,576.30908,159.25882894547848,164.676837,2.8095216429903633,2.953878,2.1216594989799473,2.363494,0.805848883646739,0.304237,0.9962927221231762,0.996199,0.1760366664573999,0.176932,169.15315614907098,30.970124,0.332270766171221,0.182238,6.000076017864675e-06,3e-06,1.3443616670938408e-05,3.8e-05,0.009075593928251968,0.009186,1.7549633192226466e-06,0.0
2,0.1084893310668994,0.11334336947886803,0.8912085937265471,0.0,0.0,-0.0058274029795464255,-0.005571,0.4137520480964718,0.521145,0.017239975925251727,0.046251,93.99787534301575,99.167578,448.7798588116298,576.30908,149.31069064894575,164.676837,2.9209301332985786,2.953878,1.0318942757373115,2.363494,1.3157020120614433,0.304237,0.990604290305799,0.996199,0.12795428998693176,0.176932,31.920611765177128,30.970124,0.7153635808863561,0.182238,7.895859204909428e-06,3e-06,0.006556976790470681,3.8e-05,0.010933414578633227,0.009186,0.0004550690941372837,0.0
3,0.11287144456931553,0.11334876502866553,0.8869875037905349,0.0,0.0,-0.007153938677336047,-0.005571,0.4598205255847365,0.521145,0.05745698248342723,0.046251,99.34683421890333,99.167578,603.0768704175124,576.30908,164.47825513425238,164.676837,2.897037219100502,2.953878,0.9009773607496658,2.363494,1.641393863969725,0.304237,0.9824055281316759,0.996199,0.18517635526556586,0.176932,175.56865210255262,30.970124,0.78211981999482,0.182238,1.3232744706381805e-05,3e-06,1.1406412927572607e-05,3.8e-05,0.00912436628867963,0.009186,2.190481489861007e-06,0.0
4,0.11184198116884925,0.1123790460599059,0.888149083634499,0.0,0.0,-0.006174777334967296,-0.005571,0.47308391331870747,0.521145,0.05906985778546936,0.046251,97.1631584288312,99.167578,630.4105002818997,576.30908,163.14118446723003,164.676837,2.796927007112495,2.953878,2.3994828174610277,2.363494,0.5687446010789046,0.304237,0.9951140112495694,0.996199,0.18593802049937735,0.176932,154.99710491941875,30.970124,0.793999946192276,0.182238,1.4593415719132974e-05,3e-06,1.4516848305723418e-05,3.8e-05,0.008877002477493512,0.009186,2.620100406580672e-06,0.0
5,0.10692072879922587,0.10713736414264186,0.8928171847634958,0.0,0.0,-0.0070177069220696,-0.005571,0.4819426476578612,0.521145,0.05543461504522895,0.046251,98.3631585956539,99.167578,484.4729606263837,576.30908,162.87941946859087,164.676837,2.856298236015146,2.953878,2.2267669530492125,2.363494,0.28137459450990576,0.304237,0.9909122524974443,0.996199,0.18090183057820114,0.176932,155.1889410003259,30.970124,0.31463327052915496,0.182238,1.6040596476030178e-05,3e-06,1.8571388832322455e-07,3.8e-05,0.009053257162942585,0.009186,2.927058266599669e-06,0.0
6,0.11128072164349212,0.11242494794563784,0.8885086909266404,0.0,0.0,-0.006657249807944909,-0.005571,0.4820342727028084,0.521145,0.05110702034399495,0.046251,98.22644720783371,99.167578,581.8663045725837,576.30908,164.26834594897704,164.676837,2.7821137382292687,2.953878,1.328881907571052,2.363494,1.358130198519106,0.304237,0.9938939360149704,0.996199,0.19196193766644376,0.176932,191.4307092644479,30.970124,0.1067134645013767,0.182238,3.577412318783724e-05,3e-06,3.060345980937518e-05,3.8e-05,0.008819416227613452,0.009186,1.150958802320634e-06,0.0
7,0.10855953664246298,0.11011751824341398,0.8913374450854729,0.0,0.0,-0.006844481159047233,-0.005571,0.4658286355065686,0.521145,0.05371614321582108,0.046251,99.73277653316197,99.167578,446.658165101255,576.30908,165.49144915247246,164.676837,2.7650105759458254,2.953878,2.2614114254879336,2.363494,0.17827892248796218,0.304237,0.9995954878310858,0.996199,0.1859255469072153,0.176932,129.0680781839476,30.970124,0.37546051560722116,0.182238,3.033206257829768e-05,3e-06,4.119001714525394e-05,3.8e-05,0.008922655677624458,0.009186,1.2738707342863087e-06,0.0
8,0.10723392932644527,0.10818936191209816,0.8924772553321458,0.0,0.0,-0.005919444498008852,-0.005571,0.4699971206292264,0.521145,0.05553624521763112,0.046251,91.88553749528873,99.167578,580.6840270869002,576.30908,158.81778275848816,164.676837,2.653991213843664,2.953878,1.8518225601600804,2.363494,0.6937148760469469,0.304237,0.9968311786277063,0.996199,0.18695977477078102,0.176932,115.15238902514446,30.970124,0.7634660186385116,0.182238,7.196388792762853e-06,3e-06,4.598235451741539e-05,3.8e-05,0.008883711142048223,0.009186,3.2801887502875715e-06,0.0
9,0.1092681967460234,0.10985370189904142,0.8906423790293241,0.0,0.0,-0.0070328694421653015,-0.005571,0.4681467421064096,0.521145,0.05666336365119218,0.046251,98.51129076163386,99.167578,650.1623295356237,576.30908,164.17052078644616,164.676837,2.8015299081419385,2.953878,0.8007520509838049,2.363494,2.0402357028520868,0.304237,0.986072376186415,0.996199,0.18003025825979269,0.176932,125.9881860394956,30.970124,0.2899919244163066,0.182238,2.996824414963628e-05,3e-06,2.48108048112039e-05,3.8e-05,0.00900914724341384,0.009186,6.022731722787888e-07,0.0
